source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_core,custom_env,map_01,Easy-1box,0,astar,,True,,3,12,1,10.2,8,84.1799,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,150.1439,4,8,22
custom,custom_core,custom_env,map_03,Medium-2box,0,astar,,True,,5,13,2,10.8,12,193.3,20,6,6
custom,custom_core,custom_env,map_04,Medium-2box,0,astar,,True,,5,13,2,10.8,12,188.7999,20,6,6
custom,custom_core,custom_env,map_05,Hard-3box,0,astar,,True,,6,14,3,9.3,37,1387.2893,174,84,8
custom,custom_core,custom_env,map_06,Hard-3box,0,astar,,True,,6,14,3,9.8,32,1324.1208,276,124,8
custom,custom_core,custom_env,map_07,Hard-3box,0,astar,,True,,6,14,3,9.8,32,1884.2299,6990,3249,8
custom,custom_core,custom_env,map_08,Hard-3box,0,astar,,True,,6,14,3,8.3,47,1032.6915,883,441,8
custom,custom_core,custom_env,map_09,Hard-3box,0,astar,,True,,7,15,3,7.3,57,961.5695,254,159,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,1659.7836,2571,1274,10
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,94.5036,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,186.4491,34,4,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,240.6001,33,2,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,411.7894,67,23,32
custom,custom_core,custom_env,map_01,Easy-1box,0,astar,,True,,3,12,1,10.2,8,143.0275,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,89.8433,4,8,22
custom,custom_core,custom_env,map_03,Medium-2box,0,astar,,True,,5,13,2,10.8,12,154.7978,20,6,6
