source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,124.1786,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,149.3614,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,335.5398,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1420.3453,4776,4483,32
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,99.7462,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,168.7064,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,232.4252,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1230.4051,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,96.4088,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,60.7941,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,272.9535,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,166.187,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,4377.3801,10119,3020,8
custom,custom_core,custom_env,map_06,Hard-3box,0,bfs,,True,,6,14,3,10.4,26,6705.4622,14110,5506,8
custom,custom_core,custom_env,map_07,Hard-3box,0,bfs,,True,,6,14,3,7.0,60,4855.6421,18316,9346,8
custom,custom_core,custom_env,map_08,Hard-3box,0,bfs,,True,,6,14,3,8.3,47,3179.9393,14577,5934,8
custom,custom_core,custom_env,map_09,Hard-3box,0,bfs,,True,,7,15,3,10.5,25,6798.9137,20930,6452,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,8303.4718,28329,11004,10
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,95.3701,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,195.1694,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,250.0792,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1482.2972,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,101.3515,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,105.2725,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,195.5514,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,131.8214,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,4699.1591,10119,3020,8
custom,custom_core,custom_env,map_06,Hard-3box,0,bfs,,True,,6,14,3,10.4,26,3417.1209,14110,5506,8
custom,custom_core,custom_env,map_07,Hard-3box,0,bfs,,True,,6,14,3,7.0,60,9553.9672,18316,9346,8
custom,custom_core,custom_env,map_08,Hard-3box,0,bfs,,True,,6,14,3,8.3,47,7375.7479,14577,5934,8
custom,custom_core,custom_env,map_09,Hard-3box,0,bfs,,True,,7,15,3,10.5,25,11134.4938,20930,6452,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15252.9047,28329,11004,10
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,70.0495,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,166.569,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,251.2341,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1461.9334,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,89.8571,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,130.2917,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,143.4865,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,170.0733,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,2269.6433,10119,3020,8
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,115.3488,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,211.1208,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,390.9039,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1526.1118,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,93.7691,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,53.581,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,149.8356,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,179.9531,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,2776.2992,10119,3020,8
custom,custom_core,custom_env,map_06,Hard-3box,0,bfs,,True,,6,14,3,10.4,26,3442.2815,14110,5506,8
custom,custom_core,custom_env,map_07,Hard-3box,0,bfs,,True,,6,14,3,7.0,60,4849.0362,18316,9346,8
custom,custom_core,custom_env,map_08,Hard-3box,0,bfs,,True,,6,14,3,8.3,47,5549.5152,14577,5934,8
custom,custom_core,custom_env,map_09,Hard-3box,0,bfs,,True,,7,15,3,10.5,25,11135.6928,20930,6452,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15229.8465,28329,11004,10
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,174.475,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,269.1619,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,376.0784,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1627.0897,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,4486.2995,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,4587.5216,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,6811.8362,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,6742.2712,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,13814.3377,10119,3020,8
custom,custom_core,custom_env,map_06,Hard-3box,0,bfs,,True,,6,14,3,10.4,26,19267.0901,14110,5506,8
custom,custom_core,custom_env,map_07,Hard-3box,0,bfs,,True,,6,14,3,7.0,60,45974.1628,18316,9346,8
custom,custom_core,custom_env,map_08,Hard-3box,0,bfs,,True,,6,14,3,8.3,47,30074.6272,14577,5934,8
custom,custom_core,custom_env,map_09,Hard-3box,0,bfs,,True,,7,15,3,10.5,25,33073.663,20930,6452,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,40005.5571,28329,11004,10
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,4627.2595,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,7573.9887,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,11641.2389,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,16174.0487,4776,4483,32
custom,custom_core,custom_env,map_01,Easy-1box,0,bfs,,True,,3,12,1,10.2,8,525.9171,4,0,1
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,729.7001,8,16,22
custom,custom_core,custom_env,map_03,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,488.1516,128,15,6
custom,custom_core,custom_env,map_04,Medium-2box,0,bfs,,True,,5,13,2,10.8,12,464.3772,128,15,6
custom,custom_core,custom_env,map_05,Hard-3box,0,bfs,,True,,6,14,3,11.0,20,3633.0209,10119,3020,8
custom,custom_core,custom_env,map_06,Hard-3box,0,bfs,,True,,6,14,3,10.4,26,7972.4097,14110,5506,8
custom,custom_core,custom_env,map_07,Hard-3box,0,bfs,,True,,6,14,3,7.0,60,8410.0087,18316,9346,8
custom,custom_core,custom_env,map_08,Hard-3box,0,bfs,,True,,6,14,3,8.3,47,7995.9016,14577,5934,8
custom,custom_core,custom_env,map_09,Hard-3box,0,bfs,,True,,7,15,3,10.5,25,10554.1232,20930,6452,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15520.1762,28329,11004,10
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,565.1743,6,0,1
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,941.1094,95,29,13
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,929.8885,299,60,48
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,4864.5036,4776,4483,32
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,bfs,,False,node_limit,15,15,3,-12.0,120,223231.9639,200000,225996,48
original,original_v0,Sokoban-v0,episode_00,Sokoban-v0,0,bfs,100,True,,,,,11.4,16,509.7585,15,16,18
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.7,23,630.3585,1320,1988,11
original,original_v0,Sokoban-v0,episode_02,Sokoban-v0,2,bfs,102,True,,,,,10.0,30,903.8515,1763,2035,15
original,original_v0,Sokoban-v0,episode_03,Sokoban-v0,3,bfs,103,True,,,,,9.1,39,942.2588,1497,3045,14
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,9.7,33,618.257,542,303,4
original,original_v1,Sokoban-v1,episode_00,Sokoban-v1,0,bfs,100,True,,,,,9.0,50,2446.8946,5903,5173,10
original,original_v1,Sokoban-v1,episode_01,Sokoban-v1,1,bfs,101,True,,,,,8.9,51,11314.1661,29413,46785,11
original,original_v1,Sokoban-v1,episode_02,Sokoban-v1,2,bfs,102,True,,,,,11.6,24,526.8011,741,525,5
original,original_v1,Sokoban-v1,episode_03,Sokoban-v1,3,bfs,103,True,,,,,8.6,54,14899.1885,45693,59109,7
original,original_v1,Sokoban-v1,episode_04,Sokoban-v1,4,bfs,104,True,,,,,8.2,58,7737.2839,28934,31677,8
original,original_v2,Sokoban-v2,episode_00,Sokoban-v2,0,bfs,100,True,,,,,10.7,43,78317.7812,163864,212815,7
