source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,8.7,43,530.22,221,183,9
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,5.0,80,1175.6213,37,35,18
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,3.3,97,2540.133,4825,6805,17
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.7,23,630.3585,1320,1988,11
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,8.7,43,920.8226,374,220,4
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,10.8,22,385.8047,17,16,7
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,9.9,31,17315.3665,612,1398,13
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,10.7,23,13166.2672,8,14,17
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,11.2,18,9962.4367,12,1,8
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.0,30,398.5536,281,520,22
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,9.7,33,400.9929,7,19,13
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,9.4,36,449.0354,88,156,11
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.0,30,499.1846,1779,3097,19
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,8.1,49,517.9048,83,164,13
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,10.0,30,328.5725,54,81,18
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.9,21,1013.4902,1245,895,5
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,11.0,20,599.2906,5,12,10
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,9.8,32,1007.297,93,88,15
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,bfs,101,True,,,,,10.2,28,224.1759,1575,1809,9
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,greedy,101,True,,,,,6.2,68,336.2503,32,46,13
original,original_v0,Sokoban-v0,episode_01,Sokoban-v0,1,astar,101,True,,,,,11.6,14,62.7542,38,43,8
